Zm00001eb000650	Transducin/WD40 repeat-like superfamily protein/Transducin/WD40 repeat-like superfamily protein/E3 ubiquitin-protein ligase RFWD3/RING-type domain-containing protein/
Zm00001eb200130	Protein WVD2-like 4/TPX2 domain-containing protein/
Zm00001eb200140	Sialyltransferase-like protein 1/Uncharacterized protein/Sialyltransferase-like protein 5/Sialyltransferase like protein/
Zm00001eb200210	PMEI domain-containing protein/Plant invertase/pectin methylesterase inhibitor superfamily protein/
Zm00001eb200260	OSJNBb0045P24.5-like protein/DUF4220 domain-containing protein/
Zm00001eb200380	OSJNBb0045P24.5-like protein/DUF4220 domain-containing protein/
Zm00001eb200390	DNAJ heat shock N-terminal domain-containing protein/DnaJ subfamily B member 12/
Zm00001eb200450	H/ACA ribonucleoprotein complex subunit/Putative H/ACA ribonucleoprotein complex subunit 1-like protein 1/
Zm00001eb200460	Pumilio homolog 12/Pumilio 12/
Zm00001eb200480	Antimicrobial peptide/Uncharacterized protein/Antimicrobial peptide MBP-1/
Zm00001eb200500	Protein ROOT HAIR DEFECTIVE 3/Protein ROOT HAIR DEFECTIVE 3 homolog (EC 3.6.5.-) (Protein SEY1 homolog)/
Zm00001eb200510	E3 ubiquitin-protein ligase RING1-like/Protein binding protein/Putative RING zinc finger domain superfamily protein/
Zm00001eb200530	Bax inhibitor-1 family protein/BI1-like protein/
Zm00001eb200570	Cycloartenol synthase (Fragment)/Camelliol C synthase/Terpene cyclase/mutase family member (EC 5.4.99.-)/Achilleol B synthase/
Zm00001eb200590	ETO1-like protein 1/Uncharacterized protein/
Zm00001eb200630	Glutamate formiminotransferase 1 (Fragment)/Transferase/Glutamate formimidoyltransferase/Formiminotransferase-like/
Zm00001eb200680	Uncharacterized protein/Putative inactive leucine-rich repeat receptor kinase XIAO/
Zm00001eb200720	Disease resistance protein RGA2/Cysteine-rich receptor-like protein kinase 6/Cysteine-rich receptor-like protein kinase 8/Protein kinase domain-containing protein/
Zm00001eb200730	Cysteine-rich receptor-like protein kinase 6/Cysteine-rich receptor-like protein kinase 40/Protein kinase domain-containing protein/Cysteine-rich receptor-like protein kinase 6 (Serine/threonine protein kinase)/
Zm00001eb200770	Protein kinase domain containing protein expressed/Cysteine-rich receptor-like protein kinase 19/Uncharacterized protein/
Zm00001eb200870	Long chain acyl-CoA synthetase 9 chloroplastic/Long chain acyl-CoA synthetase 9, chloroplastic/
Zm00001eb200890	Putative DUF869 domain containing family protein/Filament-like plant protein/
Zm00001eb200900	CBS domain-containing protein CBSCBSPB2/CBS domain-containing protein CBSCBSPB3/Uncharacterized protein/
Zm00001eb201010	Putative pentatricopeptide repeat-containing protein/Pentatricopeptide repeat-containing protein/
Zm00001eb201080	Ribosomal protein L15/Ribosomal protein L7/Cleavage stimulating factor 64/RRM domain-containing protein/
Zm00001eb201110	ABC transporter G family member 29/ABC transporter G family member 25/ABC transporter G family member 38/ATPase, coupled to transmembrane movement of substance (ATPase, coupled to transmembrane movement of substances)/
Zm00001eb201140	DEAD/DEAH box RNA helicase family protein/Uncharacterized protein/Fanconi anemia group M protein/Helicase ATP-binding domain-containing protein/Helicase C-terminal domain-containing protein/
Zm00001eb201220	NifU-like protein 2, chloroplastic/NFU3/NifU-like protein 2 chloroplastic/
Zm00001eb201230	Short-chain dehydrogenase TIC 32, chloroplastic/NAD(P)-binding Rossmann-fold superfamily protein/Retinol dehydrogenase 12/
Zm00001eb201290	Deleted./NAC domain-containing protein 71/NAC domain-containing protein/
Zm00001eb201340	DNA polymerase (EC 2.7.7.7)/DNA polymerase delta catalytic subunit (Fragment)/DNA polymerase delta catalytic subunit/
Zm00001eb201350	Deleted./Ankyrin repeat-containing protein NPR4/
Zm00001eb201400	Uncharacterized protein/CBL-interacting protein kinase 31/Nuclear pore complex protein NUP155/
Zm00001eb201570	14-3-3-like protein GF14-D/14_3_3 domain-containing protein/14-3-3-like protein/
Zm00001eb201680	Purple acid phosphatase (EC 3.1.3.2)/Acid phosphatase (EC 3.1.3.2)/Uncharacterized protein/Metallophos domain-containing protein/Purple acid phosphatase 3/
Zm00001eb201710	Protein kinase superfamily protein/Putative aarF domain-containing protein kinase 1/ABC1 domain-containing protein/
Zm00001eb201880	Uncharacterized protein/Wall-associated receptor kinase 3/
Zm00001eb201940	Long chain acyl-CoA synthetase 2/Acyl CoA synthetase (Long chain acyl-CoA synthetase 2)/Uncharacterized protein/
Zm00001eb202020	Protein kinase superfamily protein/Leucine-rich repeat receptor protein kinase EMS1/
Zm00001eb202180	Phox-associated domain/Phox-associated domain (Fragment)/Sorting nexin-13/Nexin_C domain-containing protein/
Zm00001eb202220	WNK6/Putative serine/threonine-protein kinase WNK6/Serine/threonine-protein kinase WNK4/
Zm00001eb202260	Transcription factor VIP1/BZIP transcription factor (Transcription factor VIP1)/Transcription factor RF2b/
Zm00001eb202270	Nodulation-signaling pathway 2 protein/Scarecrow-like protein 26/
Zm00001eb202360	F-box protein PP2-B10/ATPP2-B12/Uncharacterized protein/
Zm00001eb202410	Myb_DNA-bind_4 domain-containing protein/Trihelix transcription factor/
Zm00001eb202450	Putative serine esterase family protein/Protein FAM135B/
Zm00001eb202460	Putative endonuclease or glycosyl hydrolase/HTH OST-type domain-containing protein/Uncharacterized protein/
Zm00001eb202510	Putative calcium-binding protein CML15/Putative calcium-binding protein CML12/
Zm00001eb202520	Putative mediator of RNA polymerase II transcription subunit 26c/Putative mediator of RNA polymerase II transcription subunit 26c (Fragment)/
Zm00001eb202540	Mono-/di-acylglycerol lipase N-terminal/Alanine aminotransferase 2 mitochondrial (Fragment)/Ste24 endopeptidase (EC 3.4.24.84) (Fragment)/La protein 1/Lipase_3 domain-containing protein/
Zm00001eb202590	Nuclear speckle RNA-binding protein A/Maternally expressed gene 5/Protein MATERNALLY EXPRESSED GENE 5/
Zm00001eb202610	Ypt/Rab-GAP domain of gyp1p superfamily protein/GTPase-activating protein gyp7/
Zm00001eb202620	Cytochrome P450 78A6/Cytochrome P450 family 78 subfamily A polypeptide 8/Cytochrome P450 CYP78A54/
Zm00001eb202700	E3 ubiquitin ligase BIG BROTHER-related/RING-type domain-containing protein/
Zm00001eb202830	Acyl carrier protein/Uncharacterized protein/Carrier domain-containing protein/Acyl-[acyl-carrier protein] desaturase (EC 1.14.99.6) (Fragment)/
Zm00001eb202860	26S proteasome non-ATPase regulatory subunit 3 homolog A/Putative 26S proteasome non-ATPase regulatory subunit 3/26S proteasome non-ATPase regulatory subunit 3/
Zm00001eb202920	Uncharacterized protein/Uncharacterized protein (Fragment)/Nuclear pore complex protein NUP214/GBF-interacting protein 1/Nuclear pore complex protein NUP214 (Fragment)/
Zm00001eb202960	Lipase class 3 family protein/Uncharacterized protein/Lipase_3 domain-containing protein/
Zm00001eb203110	High mobility group B protein 15/HMG box family protein/
Zm00001eb203240	Putative replication protein/Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2/Uncharacterized protein/Glycosyltransferase family 61 protein/
Zm00001eb203250	40S ribosomal protein S4-3/Putative ribosomal protein S4 (RPS4A) family protein isoform 1/
Zm00001eb203280	Apoptosis inhibitory protein 5 (API5)/Apoptosis inhibitor 5-like protein API5/Uncharacterized protein/
Zm00001eb203320	Uncharacterized protein/Plant/F7F23-4 protein/
Zm00001eb203330	Calcineurin B-like12/Calcineurin B-like protein 7/Calcineurin B-like protein 4/Calcineurin B-like protein/
Zm00001eb203340	Ubiquitin-conjugating enzyme E2 variant 1C/Ubiquitin-conjugating enzyme E2 variant 1C (Ubiquitin-conjugating enzyme spm2)/
Zm00001eb203350	Uncharacterized protein/GeBP transcription factor (Tyrosine specific protein phosphatase-like)/
Zm00001eb203380	NADPH:adrenodoxin oxidoreductase, mitochondrial (EC 1.18.1.6)/NADPH:adrenodoxin oxidoreductase mitochondrial (Fragment)/
Zm00001eb203570	AGC (cAMP-dependent cGMP-dependent and protein kinase C) kinase family protein/Protein-serine/threonine phosphatase (EC 3.1.3.16)/Protein phosphatase 2C and cyclic nucleotide-binding/kinase domain-containing protein/
Zm00001eb203780	GDSL esterase/lipase/Alpha/beta-Hydrolases superfamily protein/Triacylglycerol lipase/
Zm00001eb203800	Protein CONTINUOUS VASCULAR RING 1/Protein LIKE COV 3/COV1/
Zm00001eb203810	Nuclear ribonuclease Z (Fragment)/TRNase Z TRZ1/Nuclear ribonuclease Z/Lactamase_B domain-containing protein/
Zm00001eb203840	BTB/POZ domain-containing protein POB1/BTB domain-containing protein/
Zm00001eb203850	Intracellular protein transport protein USO1-related/Uncharacterized protein/
Zm00001eb203870	Plastid division protein PDV1/Uncharacterized protein/
Zm00001eb203890	Gamma-glutamylcyclotransferase (EC 4.3.2.9) (Fragment)/Gamma-glutamylcyclotransferase (EC 4.3.2.9)/
Zm00001eb203940	WRKY transcription factor 22/WRKY domain-containing protein/
Zm00001eb204030	Pre-mRNA-splicing factor 3/Protein RDM16/Uncharacterized protein/
Zm00001eb204050	Extra-large G-protein-like/Extra-large guanine nucleotide-binding protein 1/
Zm00001eb204110	Transcription factor SPEECHLESS/BHLH transcription factor (Transcription factor SPEECHLESS)/DNA binding protein/
Zm00001eb204130	Uncharacterized protein/Core-2/I-branching beta-16-N-acetylglucosaminyltransferase family protein/
Zm00001eb204200	Protein HUA2-LIKE 3/Protein HUA2-LIKE 3 (Fragment)/
Zm00001eb204300	RHOMBOID-like protein 9 chloroplastic/RHOMBOID-like protein 9, chloroplastic/Uncharacterized protein/
Zm00001eb204320	Putative inactive dual specificity protein phosphatase-like/Uncharacterized protein/
Zm00001eb204330	Uncharacterized protein/zf-RVT domain-containing protein (Fragment)/zf-RVT domain-containing protein/
Zm00001eb204360	GDSL esterase/lipase/Esterase (GDSL esterase/lipase)/
Zm00001eb204420	Putative RING zinc finger domain superfamily protein/RING-H2 finger protein ATL1N/
Zm00001eb204570	Putative ubiquitin carboxyl-terminal hydrolase superfamily protein/Ubiquitin carboxyl-terminal hydrolase 15/
Zm00001eb204600	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)/Phosphoenolpyruvate carboxylase isoform 1/
Zm00001eb204640	Protein kinase superfamily protein/Serine/threonine-protein kinase EDR1/ATP binding protein (Protein kinase superfamily protein)/
Zm00001eb204710	Serine/arginine repetitive matrix protein 2/Cwf21/
Zm00001eb204830	Pre-mRNA-splicing factor CWC21/Cwf21/
Zm00001eb204850	SH3 domain-containing protein PJ696.02/Zinc ion binding protein/Putative FYVE zinc finger containing actin-binding-domain protein family/
Zm00001eb204910	60S ribosomal protein L11-1/60S ribosomal protein L11/Uncharacterized protein/
Zm00001eb205070	KH domain-containing protein/Far upstream element-binding protein 1/Uncharacterized protein/
Zm00001eb205140	Protein kinase domain superfamily protein/Serine/threonine-protein kinase EDR1/Protein kinase domain-containing protein/
Zm00001eb205160	Putative elongation factor 1-gamma 2/Elongation factor 1-gamma 2/
Zm00001eb205210	Allene oxide synthase 4/Putative cytochrome P450 superfamily protein/
Zm00001eb205240	Lycopene epsilon cyclase1/Protein kinase protein with adenine nucleotide alpha hydrolase-like domain/U-box domain-containing protein 35/
Zm00001eb205260	Protein CLP1-like protein/Protein CLP1/Protein CLP1 homolog/Uncharacterized protein/
Zm00001eb205290	Histone deacetylase (EC 3.5.1.98)/Probable histone deacetylase 19 (EC 3.5.1.98) (RPD3 homolog)/
Zm00001eb205380	Syntaxin-123/Syntaxin-124/
Zm00001eb205450	NSP (Nuclear shuttle protein)-interacting GTPase/Putative ARF GTPase-activating domain family protein isoform 1/Putative ADP-ribosylation factor GTPase-activating protein AGD14/GTP-ase activating protein for Arf containing protein/Arf-GAP domain-containing protein/
Zm00001eb205470	SPOC domain / Transcription elongation factor S-II protein/Putative SPOC domain / Transcription elongation factor S-II protein/PHD finger protein 3/ATP-dependent DNA helicase (EC 3.6.4.12)/
Zm00001eb205480	ABC transporter G family member 39/ABC transporter G family member 40/
Zm00001eb205490	RNA-binding (RRM/RBD/RNP motifs) family protein/ABC transporter G family member 39/Glycine-rich RNA-binding protein 3, mitochondrial/
Zm00001eb205500	26S protease regulatory subunit 8 homolog B/26S protease regulatory subunit 8 A/26S protease regulatory subunit 8 (26S protease regulatory subunit 8 homolog B)/
Zm00001eb205530	Phenylalanine ammonia-lyase 1/Phenylalanine ammonia-lyase (EC 4.3.1.24)/
Zm00001eb205560	Late blight resistance protein R1-A/NB-ARC domain-containing protein/Uncharacterized protein/Apoptotic protease-activating factor 1/
Zm00001eb205580	Binding/Uncharacterized protein/
Zm00001eb205610	Peptidase C13 family/GPI-anchor transamidase/
Zm00001eb205690	Uncharacterized protein/SWIB/MDM2 domain-containing protein/Deleted./Uncharacterized protein sll1770/
Zm00001eb205760	Calcium-binding mitochondrial carrier protein SCaMC-3/Calcium-binding mitochondrial carrier F55A11.4 (Mitochondrial substrate carrier family protein)/
Zm00001eb205810	Sec14p-like phosphatidylinositol transfer family protein/SEC14-like protein 5/
Zm00001eb205830	Putative F-box protein/F-box domain-containing protein/F-box protein interaction domain containing protein/
Zm00001eb205890	Ubiquitin family protein/DNA damage-inducible protein 1/
Zm00001eb206010	Uncharacterized protein/Putative diaminopimelate decarboxylase, chloroplastic/Uncharacterized protein Z013I05_4/
Zm00001eb206030	Tubulin binding cofactor C domain-containing protein/TBCC domain-containing protein 1/TBCC domain-containing protein 1 (Fragment)/
Zm00001eb206040	Lipoxygenase (EC 1.13.11.-)/Lipoxygenase11/Lipoxygenase10/Uncharacterized protein/
Zm00001eb206050	Putative STRUBBELIG family receptor protein kinase/Protein STRUBBELIG-RECEPTOR FAMILY 8/
Zm00001eb206080	Zinc finger CCCH domain-containing protein 52/Zinc finger CCCH domain-containing protein 14/Uncharacterized protein/
Zm00001eb206090	Citrate synthase/Uncharacterized protein/
Zm00001eb206110	Integral membrane HRF1 family protein/Protein YIF1B-B/Uncharacterized protein/Protein YIF1A/
Zm00001eb206130	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (Fragment)/Brefeldin A-inhibited guanine nucleotide-exchange protein 1/
Zm00001eb206230	Glucomannan 4-beta-mannosyltransferase 2/Glucomannan 4-beta-mannosyltransferase 1/CSLA1-cellulose synthase-like family A mannan synthase/
Zm00001eb206240	Methyl-CpG-binding domain-containing protein 9/Uncharacterized protein/PHD-finger family protein/
Zm00001eb206250	Uncharacterized protein/Protein FLX-like 2/
Zm00001eb206300	Serine/threonine protein phosphatase 2A regulatory subunit B''alpha/Putative serine/threonine protein phosphatase 2A regulatory subunit B''gamma/
Zm00001eb206330	Putative RING zinc finger domain superfamily protein/E3 ubiquitin-protein ligase CIP8/Zinc finger, C3HC4 type family protein/
Zm00001eb206360	Ethylene-responsive transcription factor 3/Putative AP2/EREBP transcription factor superfamily protein/
Zm00001eb206400	Glycosyltransferase (EC 2.4.1.-)/UDPGT domain-containing protein/
Zm00001eb206410	Protein TIC 21, chloroplastic/Uncharacterized protein/Protein TIC 21 chloroplastic/
Zm00001eb206430	RNA-metabolising metallo-beta-lactamase family protein (Fragment)/RNA-metabolising metallo-beta-lactamase family protein/Ribonuclease J/Myb-like domain-containing protein/
Zm00001eb206470	Kynurenine formamidase/Cyclase/
Zm00001eb206490	PTI1-like tyrosine-protein kinase/Protein kinase superfamily protein/BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1/
Zm00001eb206500	Uncharacterized protein/Myosin heavy chain-related protein/
Zm00001eb206560	Vacuolar import/degradation Vid27-related protein/Protein CYPRO4/VID27 domain-containing protein/
Zm00001eb206610	Protein kinase superfamily protein/Serine/threonine-protein kinase fray2/Protein kinase superfamily protein (STE20/SPS1-related proline-alanine-rich protein kinase)/
Zm00001eb206670	Uncharacterized protein/Uncharacterized conserved protein UCP015417 vWA/Uncharacterized protein L728/Aspartokinase 1, chloroplastic/
Zm00001eb206740	Ubiquitin fusion degradation 1/Ubiquitin fusion degradation protein 1/
Zm00001eb206760	Knotted related homeobox7/Homeobox protein knotted-1-like 2/Homeobox protein knotted-1-like 3/Homeobox protein knotted-1-like 6 (Fragment)/Homeobox protein knotted-1-like 7 (Fragment)/KNOX family class 2 homeodomain protein (Knotted related homeobox7)/KNOX family class 2 homeodomain protein/
Zm00001eb206790	Negative regulator of systemic acquired resistance (SNI1)/Negative regulator of systemic acquired resistance SNI1/
Zm00001eb206800	Calmodulin-binding protein 60 C/Calmodulin binding protein2/Calmodulin-binding protein 60 B/Calmodulin binding protein/
Zm00001eb206880	Putative STRUBBELIG family receptor protein kinase/Protein kinase domain-containing protein/Protein STRUBBELIG-RECEPTOR FAMILY 3/
Zm00001eb206910	Core-2/I-branching beta-16-N-acetylglucosaminyltransferase family protein/Uncharacterized protein/
Zm00001eb206930	H(+)-transporting two-sector ATPase (EC 7.1.2.2)/V-ATPase 69 kDa subunit (EC 7.1.2.2) (V-type proton ATPase catalytic subunit A) (Vacuolar proton pump subunit alpha)/Vacuolar proton pump3/V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar proton pump subunit alpha) (Fragment)/
Zm00001eb207270	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)/Glyceraldehyde-3-phosphate dehydrogenase GAPCP1 chloroplastic/Glyceraldehyde-3-phosphate dehydrogenase GAPCP2, chloroplastic/
Zm00001eb207380	Protein JASON/Uncharacterized protein/
Zm00001eb207390	Cullin-associated NEDD8-dissociated protein 1/TIP120 domain-containing protein/
Zm00001eb207400	Auxin-responsive protein SAUR71/SAUR25-auxin-responsive SAUR family member/
Zm00001eb207410	Thiosulfate/3-mercaptopyruvate sulfurtransferase 1 mitochondrial/Sulfurtransferase/Rhodanese domain-containing protein/Thiosulfate transferase/
Zm00001eb207420	Uncharacterized protein/OSJNBa0058K23.8-like protein/
Zm00001eb207560	Early nodulin-like protein 2/Early nodulin-like protein 9/
Zm00001eb207570	Early nodulin-like protein 2/Early nodulin-like protein 9/
Zm00001eb207730	Putative choline kinase 2/Uncharacterized protein/
Zm00001eb207780	CCT-eta/T-complex protein 1 subunit eta/T-complex protein 1 subunit eta (Fragment)/
Zm00001eb207830	Thiosulfate sulfurtransferase 18/Rhodanese-like domain-containing protein 19 mitochondrial/
Zm00001eb207840	60S ribosomal protein L37a-2/60S ribosomal protein L37a (60S ribosomal protein L37a-2)/60S ribosomal protein L37a/
Zm00001eb207850	60S ribosomal protein L19-2/60S ribosomal protein L19-2 (60S ribosomal protein L19-3) (Tyrosine-sulfated glycopeptide receptor 1)/Tyrosine-sulfated glycopeptide receptor 1/
Zm00001eb207940	Mediator of RNA polymerase II transcription subunit 17/Uncharacterized protein/
Zm00001eb208040	Protein CHLOROPLAST IMPORT APPARATUS 2/CCT motif family protein (Orphans transcription factor)/CCT domain-containing protein/
Zm00001eb208050	26S proteasome non-ATPase regulatory subunit 2 homolog A/26S proteasome non-ATPase regulatory subunit 2 homolog/Splicing factor 3B subunit 1/
Zm00001eb208150	Squamosa promoter-binding-like protein 2/Squamosa promoter-binding-like protein 12/SBP transcription factor (Squamosa promoter-binding-like protein 2)/SBP-type domain-containing protein/
Zm00001eb208220	Putative ubiquitin-conjugating enzyme family isoform 1 (Fragment)/Ubiquitin-conjugating enzyme E2 28/Ubiquitin-conjugating enzyme E2 29/
Zm00001eb208250	Glutamate--tRNA ligase chloroplastic/mitochondrial/Glutamate--tRNA ligase chloroplastic/mitochondrial (Fragment)/Glutamyl-tRNA synthetase (EC 6.1.1.17)/
Zm00001eb208310	Cold shock protein 1/Proteasome endopeptidase complex (EC 3.4.25.1)/Uncharacterized protein/Glycine-rich protein 2b/CSD transcription factor (Glycine-rich protein 2b)/CSD domain-containing protein/Cold shock protein 2/
Zm00001eb208480	Calcium-binding protein KIC/EF-hand Ca2+-binding protein CCD1/
Zm00001eb208500	rRNA adenine N(6)-methyltransferase (EC 2.1.1.-)/Uncharacterized protein/
Zm00001eb208520	Uncharacterized protein/Cyclin-dependent kinase A-2/Protein kinase domain-containing protein/
Zm00001eb208540	NAD(P)-linked oxidoreductase superfamily protein/NADP-dependent D-sorbitol-6-phosphate dehydrogenase/
Zm00001eb208730	65-kDa microtubule-associated protein 3/Uncharacterized protein/
Zm00001eb208810	Heat shock protein/18.3 kDa class I heat shock protein/22.0 kDa heat shock protein/
Zm00001eb208870	Uncharacterized protein (Fragment)/Uncharacterized protein/Aldose reductase/
Zm00001eb208960	SWIB/MDM2 domain superfamily protein/SWIb domain-containing protein/
Zm00001eb208980	Glycosyl hydrolase family protein (Fragment)/Beta-glucosidase BoGH3B/
Zm00001eb209000	Putative ATP synthase 24 kDa subunit mitochondrial/Putative ATP synthase subunit, mitochondrial/Mitochondrial ATP synthase/
Zm00001eb209090	Uncharacterized protein/Glycerol kinase/
Zm00001eb209100	Putative CRAL/TRIO domain containing, Sec14p-like phosphatidylinositol transfer family protein/Phosphatidylinositol/phosphatidylcholine transfer protein SFH8 (Fragment)/
Zm00001eb209170	Putative wee1-like protein kinase/Wee1-like protein kinase/Wee1-like protein/Wee1-like protein (Fragment)/
Zm00001eb209190	Uncharacterized protein/Glycosyltransferase family 61 protein/
Zm00001eb209200	Protein arginine N-methyltransferase 1.5/FKBP12-interacting protein/
Zm00001eb209220	Nucleolar protein 8/RNA-binding (RRM/RBD/RNP motifs) family protein/
Zm00001eb209260	AP-3 complex subunit mu/MHD domain-containing protein/AP-3 complex subunit mu-2/
Zm00001eb209350	Protein kinase APK1B chloroplastic/Putative serine/threonine-protein kinase PIX13/Serine/threonine-protein kinase Cx32/Putative serine/threonine-protein kinase Cx32 chloroplastic/
Zm00001eb209370	Glutamate receptor 3.3/Glutamate receptor/Glutamate receptor 3.1/Uncharacterized protein/PBPe domain-containing protein/
Zm00001eb209380	Signal peptide peptidase/Signal peptide peptidase 2/
Zm00001eb209420	DGCR14-related/Protein DGCR14/
Zm00001eb209430	DGCR14-related/Protein DGCR14/
Zm00001eb209440	DNA-directed RNA polymerase II subunit 4/DNA-directed RNA polymerase II 16 kDa polypeptide (DNA-directed RNA polymerases IV and V subunit 4)/
Zm00001eb209450	Remorin family protein/Remorin 4.1/Remorin_C domain-containing protein/
Zm00001eb209480	Uncharacterized protein/Transcription factor ILR3/Transcription factor bHLH104/DNA binding protein/BHLH transcription factor (Transcription factor bHLH104)/
Zm00001eb209550	Luminal-binding protein 2/Binding protein homolog2/Luminal-binding protein 3/Luminal-binding protein 3 (BiP3)/
Zm00001eb209610	Mitochondrial fission protein ELM1/Uncharacterized protein/RNA-binding protein NOB1/L-arabinokinase/NOB1_Zn_bind domain-containing protein/
Zm00001eb209700	Putative wall-associated receptor protein kinase family protein/Wall-associated receptor kinase 3/
Zm00001eb209740	Glycosyltransferase family 61 protein/Uncharacterized protein/HGA4/
Zm00001eb209770	Tetratricopeptide repeat (TPR)-like superfamily protein/Protein KINESIN LIGHT CHAIN-RELATED 1/Kinesin light chain/
Zm00001eb209780	Putative jumonji-like transcription factor family protein/Putative jumonji-like transcription factor family protein (Fragment)/
Zm00001eb209800	Peptidase C78 ubiquitin fold modifier-specific peptidase 1/ 2/Zinc finger with UFM1-specific peptidase domain protein/
Zm00001eb209860	Nucleic acid binding protein/RNA-binding protein 48/
Zm00001eb209870	NO-associated protein 1 chloroplastic/mitochondrial (Fragment)/NO-associated protein 1 chloroplastic/mitochondrial/Embryo defective 14/Putative nitric oxide synthase/Chloroplast cGTPase/
Zm00001eb209880	Uncharacterized protein/Trihelix transcription factor GTL2/
Zm00001eb209960	Putative TCP-1/cpn60 chaperonin family protein isoform 1/RuBisCO large subunit-binding protein subunit beta, chloroplastic/RuBisCO large subunit-binding protein subunit beta/
Zm00001eb210100	Uncharacterized protein/Pentatricopeptide repeat-containing protein/ATP binding microtubule motor family protein/E3 ubiquitin-protein ligase UPL3/
Zm00001eb000070	Uncharacterized protein/
Zm00001eb000080	Granule-bound starch synthase 1/1b chloroplastic/amyloplastic/
Zm00001eb000170	Uncharacterized protein, MSC domain-containing protein/
Zm00001eb000210	Plasma membrane ATPase 1 (EC 7.1.2.1), ATPase 7 plasma membrane-type/
Zm00001eb000220	DeSI-like protein, PPPDE domain-containing protein, EREBP-4 like protein/
Zm00001eb000230	Alpha/beta-Hydrolases superfamily protein/
Zm00001eb000310	Chaperone protein ClpB2, chloroplastic/Phosphopyruvate hydratase (EC 4.2.1.11)/Putative diaminopimelate epimerase, chloroplastic/
Zm00001eb000320	2-haloacrylate reductase/GroES-like zinc-binding alcohol dehydrogenase family protein/
Zm00001eb000370	Beta expansin2/4/8 (Beta-expansin 1a)/
Zm00001eb000400	Flavin-containing monooxygenase (EC 1.-.-.-)/
Zm00001eb000450	Proline-rich protein DC2.15/Cortical cell-delineating protein/
Zm00001eb000480	Signal recognition particle protein subunit 9/alpha/
Zm00001eb000490	Tubulin beta-4/1 chain/ Beta tubulin1/
Zm00001eb000520	Polymerase II transcription-mediator1/2 -Mediator of RNA polymerase II transcription subunit 12, Med12a (Fragment)/
Zm00001eb000540	Protein PAIR1/
Zm00001eb000550	SKP1-like protein 21/20/
Zm00001eb000560	ABC transporter G family member 40/
Zm00001eb000590	Myosin heavy chain-related protein/
Zm00001eb000770	Uncharacterized protein/
Zm00001eb000880	Trihelix transcription factor GT-2/
Zm00001eb000900	Uncharacterized protein/
Zm00001eb001050	Pyridoxal 5'-phosphate synthase (EC 1.4.3.5)/
Zm00001eb001270	Post-GPI attachment to proteins factor 3/
Zm00001eb001340	3-hydroxy-3-methylglutaryl coenzyme A synthase (HMG-CoA synthase) (EC 2.3.3.10)/
Zm00001eb001360	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein/
Zm00001eb001430	1,3-beta-glucan synthase (EC 2.4.1.34)/
Zm00001eb001490	ALA-interacting subunit/
Zm00001eb001520	Uncharacterized protein/
Zm00001eb002080	Uncharacterized protein/
Zm00001eb002520	60S ribosomal protein L5-1/
Zm00001eb002560	Thiol-disulfide oxidoreductase LTO1/
Zm00001eb002800	Glutathione transferase (EC 2.5.1.18)/
Zm00001eb002870	Uncharacterized protein/
Zm00001eb002910	Uncharacterized protein/
Zm00001eb003020	Protein-serine/threonine phosphatase (EC 3.1.3.16)/
Zm00001eb003440	Beta-amylase (EC 3.2.1.2)/
Zm00001eb003570	30S ribosomal protein S19, chloroplastic/
Zm00001eb003580	Uncharacterized protein/
Zm00001eb003750	Cyclin-dependent kinases regulatory subunit/
Zm00001eb003850	Mitochondrial inner membrane protease subunit 2/
Zm00001eb003870	Uncharacterized protein/
Zm00001eb004260	Expansin/
Zm00001eb004300	Heavy metal-associated isoprenylated plant protein 27/
Zm00001eb004510	Uncharacterized protein/
Zm00001eb004540	Putative RNA helicase SDE3/
Zm00001eb004650	Epidermal patterning factor-like protein/
Zm00001eb004780	Putative ion channel POLLUX-like 2/
Zm00001eb004900	Uncharacterized protein/
Zm00001eb005000	Pentatricopeptide repeat-containing protein/
Zm00001eb005010	DNA topoisomerase (EC 5.6.2.1)/
Zm00001eb005280	Pentatricopeptide repeat-containing protein/
Zm00001eb005320	50S ribosomal protein L32, chloroplastic/
Zm00001eb005580	Cystatin domain-containing protein/
Zm00001eb005660	Adenylosuccinate synthetase, chloroplastic (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)/
Zm00001eb005680	Uncharacterized protein/
Zm00001eb005800	Uncharacterized protein/
Zm00001eb005920	Lipoxygenase (EC 1.13.11.-)/
Zm00001eb006590	Uncharacterized protein/
Zm00001eb006900	Putative mitochondrial adenine nucleotide transporter BTL2/
Zm00001eb007170	MFP1 attachment factor 1/
Zm00001eb007320	Uncharacterized protein/
Zm00001eb007550	Tetratricopeptide repeat-like superfamily protein/
Zm00001eb007850	Chitinase (EC 3.2.1.14)/
Zm00001eb007860	40S ribosomal protein S3a/
Zm00001eb007900	Uncharacterized protein/
